question,query
what state bordering oklahoma has the largest population,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
which of the states bordering oklahoma has the largest population,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
what state that borders oklahoma has the highest population,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
what is the most populated state bordering oklahoma,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
what state contains the highest point of those the colorado river traverses,"SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""colorado"" ) );"
what state has the largest capital,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
which state 's capital city is the largest,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what state has the longest river,SELECT DISTINCT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( DISTINCT LENGTH ) FROM river );
what state has the smallest urban population,SELECT state_name FROM city GROUP BY state_name ORDER BY SUM ( population ) LIMIT 1;
what states border states that border colorado,"SELECT border FROM border_info WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""colorado"" );"
what states border states that the mississippi runs through,"SELECT border FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
which states border states through which the mississippi traverses,"SELECT border FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what states border states which the mississippi runs through,"SELECT border FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what states border texas and have a major river,"SELECT state_name FROM border_info WHERE border  =  ""texas"" AND state_name IN ( SELECT traverse FROM river WHERE LENGTH  >  750 );"
what states border the most populous state,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
what are the states that border the state with the greatest population,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
what states border the state with the smallest area,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
which states border the state with the smallest area,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what states contain at least one major rivers,SELECT traverse FROM river WHERE LENGTH  >  750;
where are mountains,SELECT state_name FROM mountain;
where is the highest mountain of the united states,SELECT state_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
which state has the highest peak in the country,SELECT state_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
where is the smallest city,SELECT state_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city );
which is the density of the state that the largest river in the united states runs through,SELECT density FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river ) );
which is the highest peak not in alaska,"SELECT mountain_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain WHERE state_name != ""alaska"" );"
which rivers do not run through tennessee,"SELECT river_name FROM river WHERE river_name NOT IN ( SELECT river_name FROM river WHERE traverse  =  ""tennessee"" );"
what rivers do not run through tennessee,"SELECT river_name FROM river WHERE river_name NOT IN ( SELECT river_name FROM river WHERE traverse  =  ""tennessee"" );"
which rivers do not run through usa,"SELECT river_name FROM river WHERE country_name != ""usa"";"
which rivers run through states that border the state with the capital atlanta,"SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT state_name FROM state WHERE capital  =  ""atlanta"" ) );"
what rivers run through the states that border the state with the capital atlanta,"SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT state_name FROM state WHERE capital  =  ""atlanta"" ) );"
which state capital has the smallest population,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
which state has the highest elevation,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
which state has the highest point,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what state has the highest elevation,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
in which state does the highest point in usa exist,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what state has highest elevation,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the state with the highest elevation in the united states,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the state that contains the highest point,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what state contains the highest point in the us,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
which state has the lowest elevation,SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
what is the name of the state with the lowest point,SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
what is the state with the lowest point,SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
which state has the lowest point that borders idaho,"SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""idaho"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""idaho"" );"
which state has the smallest average urban population,SELECT state_name FROM city GROUP BY state_name ORDER BY AVG ( population ) LIMIT 1;
which state is mount whitney in,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
in what state is mount whitney,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
where is mount whitney,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
where is mount whitney located,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
which states have a river,SELECT traverse FROM river;
what states have rivers running through them,SELECT traverse FROM river;
which states have a major city named austin,"SELECT state_name FROM city WHERE city_name  =  ""austin"" AND population  >  150000;"
what is the largest city in a state that borders california,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" );"
what is the largest city in states that border california,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" );"
how many rivers do not traverse the state with the capital albany,"SELECT COUNT ( river_name ) FROM river WHERE traverse NOT IN ( SELECT state_name FROM state WHERE capital  =  ""albany"" );"
what is the shortest river in texas,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what are the major cities in the smallest state in the us,SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the population of the capital of the largest state through which the mississippi runs,"SELECT population FROM city WHERE city_name  =  ( SELECT capital FROM state WHERE area  =  ( SELECT MAX ( t1.area ) FROM state AS t1 JOIN river AS t2 ON t1.state_name  =  t2.traverse WHERE t2.river_name  =  ""mississippi"" ) );"
what is the shortest river in the usa,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the shortest river,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the shortest river in the us,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the shortest river in the united states,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
which is the shortest river,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the capital of the state that borders the state that borders texas,"SELECT capital FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" ) );"
what is the smallest city of the smallest state in the us,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) ) ) AND state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the population of the largest state that borders texas,"SELECT population FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" );"
what state is salem the capital of,"SELECT state_name FROM state WHERE capital  =  ""salem"";"
what states capital is salem,"SELECT state_name FROM state WHERE capital  =  ""salem"";"
salem is the capital of which state,"SELECT state_name FROM state WHERE capital  =  ""salem"";"
what state has the capital salem,"SELECT state_name FROM state WHERE capital  =  ""salem"";"
what rivers flow through the state with the largest population,SELECT river_name FROM river WHERE traverse IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
what is the largest state that borders the state with the highest population,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT state_name FROM border_info WHERE border IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) ) ) ) AND state_name IN ( SELECT state_name FROM border_info WHERE border IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) ) );
how many rivers are there in us,SELECT COUNT ( river_name ) FROM river;
name the 50 capitals in the usa,SELECT DISTINCT capital FROM state;
how many states have a city named springfield,"SELECT COUNT ( state_name ) FROM city WHERE city_name  =  ""springfield"";"
how many states have a city called springfield,"SELECT COUNT ( state_name ) FROM city WHERE city_name  =  ""springfield"";"
how many states have cities named springfield,"SELECT COUNT ( state_name ) FROM city WHERE city_name  =  ""springfield"";"
how many states have cities or towns named springfield,"SELECT COUNT ( state_name ) FROM city WHERE city_name  =  ""springfield"";"
what state borders the state with the smallest population,SELECT border FROM border_info WHERE state_name IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state ) );
what are the lakes in states bordering texas,"SELECT lake_name FROM lake WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" );"
how many major cities are in texas,"SELECT COUNT ( city_name ) FROM city WHERE population  >  150000 AND state_name  =  ""texas"";"
how many big cities are in texas,"SELECT COUNT ( city_name ) FROM city WHERE population  >  150000 AND state_name  =  ""texas"";"
how many major cities are there in texas,"SELECT COUNT ( city_name ) FROM city WHERE population  >  150000 AND state_name  =  ""texas"";"
how high are the highest points of all the states,SELECT highest_elevation FROM highlow;
how many states does the missouri run through,"SELECT COUNT ( traverse ) FROM river WHERE river_name  =  ""missouri"";"
how many states does the missouri river flow through,"SELECT COUNT ( traverse ) FROM river WHERE river_name  =  ""missouri"";"
how many states does the missouri river run through,"SELECT COUNT ( traverse ) FROM river WHERE river_name  =  ""missouri"";"
what is the longest river in the smallest state in the usa,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) ) ) AND traverse IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the average population per square km in pennsylvania,"SELECT population / area FROM state WHERE state_name  =  ""pennsylvania"";"
what states border states that border states that border florida,"SELECT border FROM border_info WHERE state_name IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""florida"" ) );"
how many states border at least one other state,SELECT COUNT ( DISTINCT state_name ) FROM border_info;
what is the height of the highest mountain in texas,"SELECT MAX ( DISTINCT highest_elevation ) FROM highlow WHERE state_name  =  ""texas"";"
how many states border colorado and border new mexico,"SELECT COUNT ( border ) FROM border_info WHERE border IN ( SELECT border FROM border_info WHERE state_name  =  ""new mexico"" ) AND state_name  =  ""colorado"";"
how many major cities are in states bordering nebraska,"SELECT COUNT ( city_name ) FROM city WHERE population  >  150000 AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""nebraska"" );"
what is the total population of the states that border texas,"SELECT SUM ( t2.population ) FROM state AS t2 JOIN border_info AS t1 ON t2.state_name  =  t1.border WHERE t1.state_name  =  ""texas"";"
what are the major lakes in united states,SELECT lake_name FROM lake WHERE area  >  750;
show me all the major lakes in the us,SELECT lake_name FROM lake WHERE area  >  750;
name all the lakes of us,SELECT lake_name FROM lake;
how many major rivers cross ohio,"SELECT COUNT ( river_name ) FROM river WHERE LENGTH  >  750 AND traverse  =  ""ohio"";"
what state has the shortest river,SELECT DISTINCT traverse FROM river WHERE LENGTH  =  ( SELECT MIN ( DISTINCT LENGTH ) FROM river );
how many states are next to major rivers,SELECT COUNT ( DISTINCT traverse ) FROM river WHERE LENGTH  >  750;
what is the height of mount mckinley,"SELECT mountain_altitude FROM mountain WHERE mountain_name  =  ""mckinley"";"
what states does the shortest river run through,SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the highest point in the state with the smallest population,SELECT t2.highest_point FROM state AS t1 JOIN highlow AS t2 ON t1.state_name  =  t2.state_name WHERE t1.state_name IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state ) );
which rivers run through the state with the lowest elevation in the usa,SELECT river_name FROM river WHERE traverse IN ( SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow ) );
what rivers run through the state with the lowest point in the usa,SELECT river_name FROM river WHERE traverse IN ( SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow ) );
what mountains are in alaska,"SELECT mountain_name FROM mountain WHERE state_name  =  ""alaska"";"
how many states have major rivers,SELECT COUNT ( traverse ) FROM river WHERE LENGTH  >  750;
what is the smallest state through which the longest river runs,SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river ) ) ) AND state_name IN ( SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river ) );
what is the largest state traversed by the rio grande river,"SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""rio grande"" ) ) AND state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""rio grande"" );"
what is the largest of the state that the rio grande runs through,"SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""rio grande"" ) ) AND state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""rio grande"" );"
how many rivers run through the states bordering colorado,"SELECT COUNT ( river_name ) FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""colorado"" );"
what state has no rivers,SELECT state_name FROM state WHERE state_name NOT IN ( SELECT traverse FROM river );
what is the capital of the largest state,SELECT capital FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the capital city of the largest state in the us,SELECT capital FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
how many cities are in texas,"SELECT COUNT ( city_name ) FROM city WHERE state_name  =  ""texas"";"
how many cities does texas have,"SELECT COUNT ( city_name ) FROM city WHERE state_name  =  ""texas"";"
what is the area of the states,SELECT area FROM state;
how many states in the us does the shortest river run through,SELECT COUNT ( DISTINCT traverse ) FROM river WHERE LENGTH  =  ( SELECT MIN ( DISTINCT LENGTH ) FROM river );
what rivers flow through states that border the state with the largest population,SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) ) );
what are the major cities in the largest state,SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
what is the area of the smallest state,SELECT area FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
which states border the longest river in the usa,SELECT border FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river ) );
what is the population density of the state with the smallest population,SELECT density FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state );
how many states border the mississippi river,"SELECT COUNT ( DISTINCT border ) FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what states have a capital that is the highest point in the state,SELECT t1.state_name FROM state AS t1 JOIN highlow AS t2 ON t1.capital  =  t2.highest_point;
what is the population of the capital of the smallest state,SELECT population FROM city WHERE city_name  =  ( SELECT capital FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the population of the capital of the largest state,SELECT population FROM city WHERE city_name  =  ( SELECT capital FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
what is the lowest point of the state with the largest area,SELECT t2.lowest_point FROM state AS t1 JOIN highlow AS t2 ON t1.state_name  =  t2.state_name WHERE t1.state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
what states border states that border the state with the largest population,SELECT t1.border FROM border_info AS t2 JOIN border_info AS t1 ON t2.border  =  t1.state_name WHERE t2.state_name IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
what is the size of the largest state in the usa,SELECT MAX ( area ) FROM state;
what is the area of the largest state,SELECT MAX ( area ) FROM state;
which capitals are not major cities,SELECT t2.capital FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name WHERE t1.population  <=  150000;
give me the cities in usa,SELECT city_name FROM city;
what is the highest point of the state with the largest area,SELECT t2.highest_point FROM state AS t1 JOIN highlow AS t2 ON t1.state_name  =  t2.state_name WHERE t1.state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
where is massachusetts,"SELECT country_name FROM state WHERE state_name  =  ""massachusetts"";"
what state has the largest urban population,SELECT state_name FROM city GROUP BY state_name ORDER BY SUM ( population ) DESC LIMIT 1;
what are the major rivers in the us,SELECT river_name FROM river;
how many cities named austin are there in the usa,"SELECT COUNT ( city_name ) FROM city WHERE city_name  =  ""austin"";"
how many people live in the smallest state bordering wyoming,"SELECT population FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""wyoming"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""wyoming"" );"
what is the length of the colorado river in texas,"SELECT LENGTH FROM river WHERE river_name  =  ""colorado"" AND traverse  =  ""texas"";"
what is the population density in the state with capital austin,"SELECT density FROM state WHERE capital  =  ""austin"";"
how long is the shortest river in the usa,SELECT LENGTH FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the elevation of death valley,"SELECT lowest_elevation FROM highlow WHERE lowest_point  =  ""death valley"";"
what is the average population of the us by state,SELECT AVG ( population ) FROM state;
what rivers flow through the largest state,SELECT river_name FROM river WHERE traverse IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
what states border states that border states that border states that border texas,"SELECT t1.border FROM border_info AS t2 JOIN border_info AS t1 ON t2.border  =  t1.state_name JOIN border_info AS t3 ON t3.border  =  t2.state_name JOIN border_info AS t4 ON t4.border  =  t3.state_name WHERE t4.state_name  =  ""texas"";"
how many states border on the state whose capital is boston,"SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE capital  =  ""boston"" );"
what are the major cities in the states through which the major river in virginia runs,"SELECT city_name FROM city WHERE population  >  150000 AND state_name IN ( SELECT traverse FROM river WHERE river_name IN ( SELECT river_name FROM river WHERE LENGTH  >  750 AND traverse  =  ""virginia"" ) );"
which states does not border texas,"SELECT state_name FROM state WHERE state_name NOT IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" );"
how many states border the largest state,SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
which state is the largest city in montana in,"SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""montana"" ) AND state_name  =  ""montana"";"
what is capital of the state with the lowest point,SELECT t1.capital FROM highlow AS t2 JOIN state AS t1 ON t1.state_name  =  t2.state_name WHERE t2.lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow ) ;
what is the biggest american city in a state with a river,SELECT DISTINCT t1.city_name FROM city AS t1 JOIN river AS t2 ON t2.traverse  =  t1.state_name WHERE t1.population  =  ( SELECT MAX ( t1.population ) FROM river AS t2 JOIN city AS t1 ON t2.traverse  =  t1.state_name );
how many rivers are in the state with the largest population,SELECT COUNT ( t2.river_name ) FROM river AS t2 JOIN state AS t1 ON t1.state_name  =  t2.traverse WHERE t1.state_name  =  ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
what is the largest state that borders the state with the lowest point in the usa,SELECT t1.state_name FROM highlow AS t3 JOIN border_info AS t1 ON t3.state_name  =  t1.border JOIN state AS t2 ON t2.state_name  =  t1.border WHERE t3.lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow ) ORDER BY t2.area DESC LIMIT 1;
what is the capital of the state with the highest point,SELECT t1.capital FROM highlow AS t2 JOIN state AS t1 ON t1.state_name  =  t2.state_name WHERE t2.highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the capital of the state with the highest elevation,SELECT t1.capital FROM highlow AS t2 JOIN state AS t1 ON t1.state_name  =  t2.state_name WHERE t2.highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the highest point in the smallest state,SELECT t2.highest_point FROM highlow AS t2 JOIN state AS t1 ON t1.state_name  =  t2.state_name WHERE t1.area  =  ( SELECT MIN ( area ) FROM state );
how many rivers are in the state with the highest point.,SELECT COUNT ( t1.river_name ) FROM highlow AS t2 JOIN river AS t1 ON t1.traverse  =  t2.state_name WHERE t2.highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
how high is the highest point in the largest state,SELECT t2.highest_elevation FROM highlow AS t2 JOIN state AS t1 ON t1.state_name  =  t2.state_name WHERE t1.area  =  ( SELECT MAX ( area ) FROM state );
what is the longest river in the state with the highest point,SELECT t1.river_name FROM highlow AS t2 JOIN river AS t1 ON t1.traverse  =  t2.state_name WHERE t2.highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow ) ORDER BY t1.length DESC LIMIT 1;
